Show,This Week GrossPotential Gross,Diff $,Avg TicketTop Ticket,Seats SoldSeats in Theatre,PerfsPreviews,% Cap,Diff % cap,Week Ending,TonyNominatedMusical,Theater
Aladdin,1229667.1,$0.00,$129.33,"9,5081,727",60,91.76,0.0,2022-01-02,True,New Amsterdam Theatre
The Book of Mormon,1417567.55,"$269,003.85",$152.30,"9,3081,066",90,97.02,0.83,2022-01-02,False,Eugene O'Neill Theatre
"Caroline, or Change",302691.0,"$70,906.00",$67.00,"4,518990",80,57.05,9.34,2022-01-02,True,Studio 54
Chicago,865290.9,"$39,821.05",$118.57,"7,2981,080",90,75.08,-20.09,2022-01-02,True,Ambassador Theatre
Clyde's,136134.25,"-$32,072.00",$54.85,"2,482585",70,60.61,0.59,2022-01-02,False,Helen Hayes Theater
Come From Away,452254.0,"$268,047.50",$132.28,"3,4191,046",50,65.37,-1.7,2022-01-02,False,Gerald Schoenfeld Theatre
Company,1007976.1,"$207,549.37",$139.55,"7,2231,046",80,86.32,-3.53,2022-01-02,True,Bernard B. Jacobs Theatre
David Byrne's American Utopia,653075.25,"$530,107.50",$112.99,"5,7801,563",60,61.63,-12.58,2022-01-02,False,St. James Theatre
Dear Evan Hansen,1328366.74,$0.00,$162.15,"8,192984",90,92.5,0.0,2022-01-02,True,Music Box Theatre
Flying Over Sunset,123053.5,"$63,502.50",$54.50,"2,2581,066",80,26.48,-9.01,2022-01-02,False,Vivian Beaumont Theater
Freestyle Love Supreme,412937.5,"$72,317.50",$99.50,"4,150767",80,67.63,9.69,2022-01-02,False,Booth Theatre
Girl From the North Country,182007.2,"-$15,683.50",$76.06,"2,393998",90,26.64,-5.6,2022-01-02,False,Belasco Theatre
Hadestown,942084.35,$0.00,$172.89,"5,449918",60,98.93,0.0,2022-01-02,False,Walter Kerr Theatre
Hamilton,2594729.0,$0.00,$283.98,"9,1371,324",70,98.59,0.0,2022-01-02,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1890581.5,$0.00,$197.84,"9,5561,622",60,98.19,0.0,2022-01-02,False,Lyric Theatre
The Lehman Trilogy,1001263.5,"$94,893.50",$142.73,"7,0151,148",70,87.29,9.18,2022-01-02,False,Nederlander Theatre
The Lion King,1482761.0,$0.00,$191.89,"7,7271,696",50,91.12,0.0,2022-01-02,True,Minskoff Theatre
MJ The Musical,776658.5,$0.00,$135.61,"5,7271,414",5,81.0,0.0,2022-01-02,False,Neil Simon Theatre
Moulin Rouge! The Musical,677741.5,"-$297,452.50",$181.65,"3,7311,300",30,95.67,1.53,2022-01-02,True,Al Hirschfeld Theatre
Mrs. Doubtfire,933818.0,"$268,710.00",$130.19,"7,1731,034",90,77.08,-7.64,2022-01-02,False,Stephen Sondheim Theatre
The Music Man,417166.0,"-$1,807,658.00",$277.56,"1,5031,525",1,98.56,-0.36,2022-01-02,False,Winter Garden Theatre
The Phantom of the Opera,1417576.62,"-$59,854.47",$132.86,"10,6701,605",80,83.1,-11.64,2022-01-02,True,Majestic Theatre
SIX: The Musical,280996.0,$0.00,$160.11,"1,7551,031",20,85.11,0.0,2022-01-02,False,Lena Horne Theatre
